,PR-AUC,Top decile,Lift over chance,"Matches per 1,000 shown",Instability of the model,Amplification,Least recommended,Their gap (pts)
Lasso logistic regression,0.22793593491368982,0.29832935560859186,1.8090000345889106,298,0.56,1.157981733388431,Asian,-5.52157180862412
XGBoost,0.21796559390878098,0.2863961813842482,1.7366400332053544,286,0.3000000119209289,1.012506641254206,Asian,-2.6648914893287188
TabPFN,0.2341438372053506,0.28878281622911695,1.7511120334820656,289,,1.2743618070958111,Asian,-6.09987881554057
