,worst group,parity p (that group),parity p (mixed pairs),amplification,PR-AUC,top decile
full model,Asian,8.411512469140286e-13,0.0005192785166188094,1.157981733388431,0.22793593491368982,0.29832935560859186
without raceclash,Asian,2.224623235145249e-15,3.677823634637508e-06,1.22199077392749,0.22381690196387588,0.27923627684964203
without ethnicity,White,9.251227843379534e-08,3.77937565700617e-12,1.350008855005608,0.21862594929758256,0.25059665871121717
without either,White,8.450662227941052e-06,7.165460894359576e-09,1.285999814466549,0.21655265161318898,0.2529832935560859
unawareness,White,0.008854617073173799,0.05859065470006424,1.0706966781078961,0.2103556074783893,0.24821002386634844
full model,Asian,8.411512469140286e-13,0.0005192785166188094,1.157981733388431,0.22793593491368982,0.29832935560859186
ethnicity neutralised,White,3.5550981713069946e-12,2.0187917931079795e-29,1.5885880061057371,0.21703055740636212,0.2458233890214797
raceclash neutralised,Black,2.5820277533503567e-22,0.0001479811770269338,0.75647047909797,0.2260420861986909,0.28162291169451076
both neutralised,White,0.008950908626368628,0.01163599652407462,1.10561070022011,0.2135513115845441,0.2553699284009546
