feature,PR-AUC,PR-AUC ± ,top decile,top decile ± 
self_age,-0.0011882556353907988,0.0007451702010327191,0.006921241050119334,0.0029934292736344932
self_field,0.00021664018914318295,0.0009891121113209003,0.015035799522673038,0.003901131731069587
self_race,0.003635875058391659,0.0011378312773635667,0.02422434367541767,0.003973036839791289
self_racepref,0.0004588365703045869,0.0006148461417112433,0.01396181384248211,0.0023453253091421803
self_religpref,-0.00019272036871418458,0.0004599115031533131,0.005489260143198093,0.0017219149472954547
self_income,-0.006286873626224367,0.0007253765376373616,0.011217183770883061,0.0025428502847595915
self_goal,-0.0015996867750253372,0.0005300380074421937,-0.0010739856801909252,0.0022790798281909492
self_datefreq,0.003636434712746303,0.0008471588403895286,0.020167064439140826,0.0031979729611785533
self_outfreq,-0.0019396820310895527,0.000497573852836017,0.0023866348448687317,0.001781254807576759
self_optimism,0.0035636487900243055,0.0007862745852572926,0.031145584725537002,0.00457702294572442
self_wantattr,-0.0021862940935790777,0.0007416244815744058,0.013007159904534613,0.004070966523991542
self_wantsinc,0.0003022501809788414,0.000788982049374446,0.013723150357995238,0.003338572881896847
self_wantintel,-0.0006700517000626183,0.0005998833623817468,0.00954653937947495,0.002921287846506173
self_wantfun,-0.001461651244709239,0.0005430650097999029,0.010143198090692132,0.0025807535752863557
self_wantamb,0.001571103299858595,0.0006820212809846343,0.015751789976133662,0.0027155449676803775
self_wantshar,0.0007946222297123024,0.0012649150771598498,0.01658711217183772,0.003645612497892333
self_selfattr,-0.00015127136000062102,0.0006637573013928428,0.009307875894988072,0.002862648067814486
self_selfsinc,-0.0009127568709850084,0.0005042601248513552,0.003937947494033417,0.002150645643628272
self_selffun,0.0007011348371775458,0.00038991078694049686,0.004773269689737472,0.0019568659331823286
self_selfintel,-0.00012657523140617577,0.0005914686639603044,0.008233890214797143,0.0025509049463151943
self_selfamb,5.3101276032122004e-05,0.00038498846916704507,0.004892601431980908,0.0022058959784631285
other_age,0.00160219009519577,0.000746809946764415,0.018257756563245832,0.0022009305338353243
other_field,0.000623309525723735,0.0009581216163644783,0.011455847255369935,0.003751004065450094
other_race,0.007521388580534081,0.0007370775353562188,0.030668257756563254,0.003211628632415914
other_racepref,0.0007551480376704611,0.0003840167728000609,0.01276849642004775,0.0014140206224523158
other_religpref,-0.0009882901925659382,0.00023481149725998208,0.0057279236276849745,0.0023248263803328714
other_income,0.0014421408389084622,0.0008851671879828884,0.017661097852028653,0.002654422098315774
other_goal,0.00030125535494425064,0.0002774016836677166,-0.00023866348448687292,0.001437996909399577
other_datefreq,0.005463225265913797,0.0006927293590351,0.035441527446300726,0.003036521994156588
other_outfreq,0.0022240658047133293,0.0006536203482248352,0.013842482100238671,0.003751004065450091
other_optimism,-0.001663623397114046,0.00044850868650142707,0.0035799522673030993,0.001856446027334104
other_wantattr,0.002741477608940174,0.000603478072579157,0.02601431980906922,0.004009017467082485
other_wantsinc,0.0027426118321151605,0.0005912460037234764,0.0158711217183771,0.004041295343836836
other_wantintel,7.315587438454507e-05,0.00036102380169557703,0.008949880668257767,0.0015820040898925245
other_wantfun,0.0019710584822652697,0.0004765309775818177,0.01396181384248211,0.0031427569762759082
other_wantamb,0.004638229547788544,0.0004575204489329781,0.027565632458233902,0.0025293688501243985
other_wantshar,0.0028475258925293747,0.0010827757026248687,0.019212410501193322,0.0027964311589959968
other_selfattr,0.0018619461766007247,0.0006890174203954688,0.0045346062052505996,0.0022652360883145014
other_selfsinc,-0.0003771170694835749,0.00022031245038767766,0.0023866348448687374,0.0016866063245607231
other_selffun,0.0015523500988015178,0.0005490814881815594,0.022553699284009555,0.0024188138527387964
other_selfintel,0.0025604525767068424,0.0009075447053595048,0.02076372315035801,0.004052447495017141
other_selfamb,0.001848382412100251,0.0003056105247758481,0.010023866348448703,0.0024664053078634457
samerace,0.0003827896281733259,0.00014051828777717615,0.004534606205250588,0.001188014949614919
interests,-0.0011763605844749615,0.000410416186270253,0.005250596658711212,0.001606878544780079
self_noincome,-0.00040302936549123646,0.00018078963153929657,0.0052505966587112094,0.0009118719291563545
other_noincome,-0.000856939496504315,0.00019380123515976306,-0.00023866348448687292,0.0010920444085279377
agegap,0.0031999944002792323,0.0006093569001861694,0.012768496420047742,0.002414286354426494
agediff,0.0014102614237598038,0.0003816859248854354,0.009785202863961829,0.0025812834497556045
self_fit,0.0018028270945628215,0.000495890777728062,0.014677804295942731,0.00277285702999936
other_fit,0.0010061505306541026,0.0004434172530243842,0.010859188544152753,0.0025293688501243994
passions,0.00025360695426634994,0.0003130269920144966,0.006085918854415276,0.002948779637112501
samefield,0.005051452327276178,0.0006009439989493279,0.015035799522673046,0.002014716788354258
samecareer,8.604640292342452e-05,0.00016000324517305336,0.0014319809069212376,0.0008997936219779412
outgap,0.0015717157361865963,0.0003543924085765483,0.012052505966587131,0.001342578728954162
dategap,0.00016812887948573356,0.00016482334539380267,0.00202863961813842,0.001007358394177127
racepref_max,-2.703282097569204e-05,0.00037732381432678297,0.01563245823389022,0.0021809557085470804
religpref_max,-0.0007312224307569337,0.0003479573001102647,0.0011933174224343646,0.0013435969913143805
raceclash,0.007206877798776842,0.000885920383506215,0.03198090692124106,0.00434305852054089
fitmin,-0.0011890489737539783,0.0004259750416332658,0.01622911694510741,0.002282078224209535
olderwoman,-0.00030200955787477166,6.62737794648827e-05,0.0005966587112171823,0.0005608490325592426
female,0.005674921191994482,0.001431746280289495,0.026133651551312663,0.004516867578301287
