model,least recommended,their gap (pts),most recommended,and theirs (pts),amplification
logit,Asian,-5.52157180862412,Black,10.062807621463298,1.157981733388431
xgboost,Asian,-2.6648914893287188,Black,11.265966120119577,1.012506641254206
tabpfn,Asian,-6.09987881554057,Other,6.116661373396486,1.2743618070958111
