,n,difference (pts),parity p,conditional p,verdict
Asian,1978,-5.52157180862412,8.411512469140286e-13,2.3658338621501684e-09,RED: the gap survives the legitimate variables
White,4722,-0.5781749976328285,0.3837338863002828,0.09818536858903759,GREEN: no detectable gap
Latino,664,3.5684157911583525,0.003240869696764884,0.0016015503457119662,RED: the gap survives the legitimate variables
Other,521,6.974343749568483,2.687184793908284e-07,7.907050100453006e-06,RED: the gap survives the legitimate variables
Black,420,9.81203007518797,6.153384973398154e-11,8.312171284607928e-09,RED: the gap survives the legitimate variables
mixed pair,2526,-3.2929905341505044,0.0005192785166188094,0.0006766860925463414,RED: the gap survives the legitimate variables
