group,matches in the data,share of them shown,elsewhere,difference (pts),p-value
Asian,267,0.10486891385767791,0.2010919017288444,-9.622298787116648,0.00025934093429358574
White,788,0.16116751269035534,0.21107266435986158,-4.990515166950623,0.018259013546281122
Latino,123,0.21951219512195122,0.17860016090104586,4.091203422090536,0.2622519666677694
Black,85,0.3411764705882353,0.1717408274785324,16.94356431097029,8.920835758868887e-05
Other,103,0.36893203883495146,0.16706254948535235,20.18694893495991,3.350490595582932e-07
