lambda,PR-AUC on fold 1,distance to fold 0,performance change (%),stability gained (%)
0.0,0.28678776760802405,0.580657924371855,0.0,0.0
0.001,0.2858724096341061,0.4936090037019923,-0.3191760867461535,14.9914290352673
0.003,0.28887863211056636,0.43347717860385154,0.7290633488245879,25.347237950333824
0.01,0.29527743261484235,0.36013541391659715,2.9602605012155836,37.97804201050301
0.03,0.2975632993587517,0.28160029158897215,3.757319163436379,51.50323800478533
0.1,0.30754384838793214,0.17879321735086864,7.237435875674136,69.20851161304931
0.3,0.31226527290806383,0.09485704864084785,8.883748952243309,83.66386737191911
